Green Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales by Product/Service Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1 January-31 December, 2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Transaction date,Transaction type,Number,Customer full name,Description,Quantity,Sales price,Amount,Balance,A/R paid,Distribution account,Account type,Customer,Item customer type,Customer/Supplier message,Full name,Line created by,Line created date,Line modified by,Line modified date,Memo,Open balance,Payment method,Product/Service full name,Reference number,Service date,Ship via,SKU,Store,Store full name,Tax amount,Tax code,Tax inclusive amount,Taxable,Taxable amount,Transaction ID,Transaction type
Distribution of brochures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,01/01/2026,Invoice,14586,Atlantis Adventures,Distribution of brochures - Atlantis,1.00,561.70,561.70,561.70,Paid,Sales,Income,Atlantis Adventures,,"Green Office's TAMIS TIN # is 1000008715262

Thank you for your business and have a great day !

Please make cheques payable to GREEN OFFICE

Returned cheques will incur a fee of $50.00",Sales,Andrew Hart,12/16/2025 11:07:33 PM,Andrew Hart,12/16/2025 11:07:33 PM,,,,Distribution of brochures,,,,,,,98.30,VAT,660.00,No,561.70,30109,Invoice
,01/01/2026,Invoice,14589,Barbados Wildlife Reserve,Distribution of brochures - Barbados Wildlife Reserve,1.00,561.70,561.70,"1,123.40",Paid,Sales,Income,Barbados Wildlife Reserve,,"Green Office's TAMIS TIN # is 1000008715262

Thank you for your business and have a great day !

Please make cheques payable to GREEN OFFICE

Returned cheques will incur a fee of $50.00",Sales,Andrew Hart,12/17/2025 01:51:17 AM,Andrew Hart,12/17/2025 01:51:17 AM,,,,Distribution of brochures,,,,,,,98.30,VAT,660.00,No,561.70,30132,Invoice
,01/01/2026,Invoice,14590,Bushy Park Circuit Inc.,Distribution of brochures - Bushy Park,1.00,561.70,561.70,"1,685.10",Paid,Sales,Income,Bushy Park Circuit Inc.,,"Green Office's TAMIS TIN # is 1000008715262

Thank you for your business and have a great day !

Please make cheques payable to GREEN OFFICE

Returned cheques will incur a fee of $50.00",Sales,Andrew Hart,12/17/2025 01:52:08 AM,Andrew Hart,12/17/2025 01:52:08 AM,,,,Distribution of brochures,,,,,,,98.30,VAT,660.00,No,561.70,30133,Invoice
,01/01/2026,Invoice,14591,Cool Runnings Catamaran Cruises,Distribution of brochures - Cool Runnings,1.00,561.70,561.70,"2,246.80",Paid,Sales,Income,Cool Runnings Catamaran Cruises,,"Green Office's TAMIS TIN # is 1000008715262

Thank you for your business and have a great day !

Please make cheques payable to GREEN OFFICE

Returned cheques will incur a fee of $50.00",Sales,Andrew Hart,12/17/2025 01:53:19 AM,Andrew Hart,12/17/2025 01:53:19 AM,,,,Distribution of brochures,,,,,,,98.30,VAT,660.00,No,561.70,30134,Invoice
,01/01/2026,Invoice,14592,Elegance Catamaran Cruises - Callyat Cruises Ltd.,Distribution of brochures - Elegance,0.00,,0.00,"2,246.80",Paid,Sales,Income,Elegance Catamaran Cruises - Callyat Cruises Ltd.,,"Green Office's TAMIS TIN # is 1000008715262

Thank you for your business and have a great day !

Please make cheques payable to GREEN OFFICE

Returned cheques will incur a fee of $50.00",Sales,Andrew Hart,12/16/2025 10:18:18 PM,Andrew Hart,01/02/2026 12:30:01 PM,Voided,,,Distribution of brochures,,,,,,,0.00,VAT,0.00,No,0.00,30135,Invoice
,01/01/2026,Invoice,14593,Beautiful Barbados Tours & Excursions Ltd.,Distribution of brochures - Beautiful Barbados slot,1.00,561.70,561.70,"2,808.50",Paid,Sales,Income,Beautiful Barbados Tours & Excursions Ltd.,,"Green Office's TAMIS TIN # is 1000008715262

Thank you for your business and have a great day !

Please make cheques payable to GREEN OFFICE

Returned cheques will incur a fee of $50.00",Sales,Andrew Hart,12/17/2025 02:18:55 AM,Andrew Hart,12/17/2025 02:18:55 AM,,,,Distribution of brochures,,,,,,,98.30,VAT,660.00,No,561.70,30136,Invoice
,01/01/2026,Invoice,14594,Hayman's Market,Distribution of brochures,1.00,561.70,561.70,"3,370.20",Paid,Sales,Income,Hayman's Market,,"Green Office's TAMIS TIN # is 1000008715262

Thank you for your business and have a great day !

Please make cheques payable to GREEN OFFICE

Returned cheques will incur a fee of $50.00",Sales,Andrew Hart,12/17/2025 02:19:34 AM,Andrew Hart,12/17/2025 02:19:34 AM,,,,Distribution of brochures,,,,,,,98.30,VAT,660.00,No,561.70,30137,Invoice
,01/01/2026,Invoice,14595,Hightide Watersports,Distribution of brochures - Hightide Watersports,1.00,561.70,561.70,"3,931.90",Paid,Sales,Income,Hightide Watersports,,"Green Office's TAMIS TIN # is 1000008715262

Thank you for your business and have a great day !

Please make cheques payable to GREEN OFFICE

Returned cheques will incur a fee of $50.00",Sales,Andrew Hart,12/17/2025 02:20:05 AM,Andrew Hart,12/17/2025 02:20:05 AM,,,,Distribution of brochures,,,,,,,98.30,VAT,660.00,No,561.70,30138,Invoice
,01/01/2026,Invoice,14596,Island Safari,Distribution of brochures - Island Safari,1.00,561.70,561.70,"4,493.60",Paid,Sales,Income,Island Safari,,"Green Office's TAMIS TIN # is 1000008715262

Thank you for your business and have a great day !

Please make cheques payable to GREEN OFFICE

Returned cheques will incur a fee of $50.00",Sales,Andrew Hart,12/17/2025 02:20:56 AM,Andrew Hart,12/17/2025 02:20:56 AM,,,,Distribution of brochures,,,,,,,98.30,VAT,660.00,No,561.70,30139,Invoice
