"Product/Service Name","Quantity on hand","Item type","Category","SKU","Purchase cost includes tax","Sales price includes tax","Price","Cost","Income Account","Expense Account","Inventory asset account","Sales Description","Purchase Description","Reorder Point"
"159-01 Barbados Turtle Mini",15,"Inventory","Souvenirs:Stickers","159-01","No","No",3.87,2.21,"Sales of Product Income","Cost of sales","Inventory Asset","159-01 Barbados Turtle Mini","159-01 Barbados Turtle Mini",20
"159-03 Barbados Turtle Large",-3,"Inventory","Souvenirs:Stickers","159-03","No","No",4.83,2.59,"Sales of Product Income","Cost of sales","Inventory Asset","159-03 Barbados Turtle Large","159-03 Barbados Turtle Large",20
"2X3 Bottom Bay Magnet",434,"Inventory","Souvenirs:Magnets","40865","No","No",4.83,2.94,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Bottom Bay Magnet - 40865","2X3 Bottom Bay Magnet",100
"2X3 Carlisle Bay Magnet",51,"Inventory","Souvenirs:Magnets","56187","No","No",4.83,2.67,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Carlisle Bay Magnet - 56187","2X3 Carlisle Bay Magnet",20
"2X3 Crane Beach Magnet",528,"Inventory","Souvenirs:Magnets","40868","No","No",4.83,3.18,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Crane Beach Magnet - 40868","2X3 Crane Beach Magnet",50
"2X3 Foul Bay Magnet",239,"Inventory","Souvenirs:Magnets","40866","No","No",4.83,3.24,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Foul Bay Magnet - 40866","2X3 Foul Bay Magnet",50
"2X3 Miami Beach Magnet",123,"Inventory","Souvenirs:Magnets","40867","No","No",4.83,3.19,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Miami Beach Magnet - 40867","2X3 Miami Beach Magnet",50
"2X3 Sea Turtle 1 Magnet",189,"Inventory","Souvenirs:Magnets","44536","No","No",4.83,3,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Sea Turtle 1 Magnet - 44536","2X3 Sea Turtle 1 Magnet",20
"2X3 Sea Turtle 2 Magnet",72,"Inventory","Souvenirs:Magnets","55926","No","No",4.83,1.72,"Sales of Product Income","Cost of sales","Inventory Asset","2X3 Sea Turtle 2 Magnet - 55926","2X3 Sea Turtle 2 Magnet",20
"2oz Frosted Glass Bottle",191,"Inventory","Souvenirs:Sand & Shells","SSG-11","No","No",7.27,4.58,"Sales of Product Income","Cost of sales","Inventory Asset","2oz Frosted Glass Bottle - SSG-11","2oz Frosted Glass Bottle",10
"3D 18oz Lenticular Aquatic Cup With Lid",56,"Inventory","Souvenirs","Q1-3DAQU","No","No",6.78,4.66,"Sales of Product Income","Cost of sales","Inventory Asset","3D 18oz Lenticular Aquatic Cup With Lid","3D 18oz Lenticular Aquatic Cup With Lid",20
"3D Painted Cypraea Tigris",23,"Inventory","Souvenirs","I-1507","No","No",10.19,6,"Sales of Product Income","Cost of sales","Inventory Asset","3D Painted Cypraea Tigris","3D Painted Cypraea Tigris",10
"47192 Coral Fish Magnet",81,"Inventory","Souvenirs:3D Magnets","47192-3DM","No","No",5.81,3.26,"Sales of Product Income","Cost of sales","Inventory Asset","Coral Fish Magnet - 47192","Coral Fish Magnet",10
"47266 Sea Turtle Swim Magnet",47,"Inventory","Souvenirs:3D Magnets","47266-3DM","No","No",5.81,3.26,"Sales of Product Income","Cost of sales","Inventory Asset","Sea Turtle Swim Magnet - 47266","47266 Sea Turtle Swim Magnet",10
"Barbados Baby Sea Turtle Patch",398,"Inventory","Souvenirs:Patches","401856","No","No",4.83,2.85,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Baby Sea Turtle Patch - 401856","Barbados Baby Sea Turtle Peel and Stick Patch",10
"Barbados Banner Palm Surf",83,"Inventory","Souvenirs:Stickers","106-01","No","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Banner Palm Surf - 106-01","Barbados Banner Palm Surf",20
"Barbados Blue Flip Flops",31,"Inventory","Souvenirs:Stickers","112-01","No","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Blue Flip Flops - 112-01","Barbados Blue Flip Flops",20
"Barbados Blue Turtle",18,"Inventory","Souvenirs:Stickers","102-01","No","No",3.87,2.41,"Sales of Product Income","Cost of sales","Inventory Asset","Barbados Blue Turtle - 102-01","Barbados Blue Turtle",20
