Name,Company name,Street Address,City,State,Country,Zip,Phone,Email,Attachments,Open balance
Abbey Holdings (St. Nicholas Abbey),Abbey Holdings (St. Nicholas Abbey),St. Nicholas Abbey,Cherry Tree Hill,St. Peter,,,432-6392,anna@stnicholasabbey.com,0,0.00
Amazing Attractions Inc,Amazing Attractions Inc,The Shallow Draft,Bridgetown,St. Michael,,,430-0900 ext 525,cince@fosterincegroup.com,0,0.00
Barbados Museum & Historical Society,Barbados Museum & Historical Society,Garrison,,St. Michael,,,538-0201,bmhsmerchandising@barbmuse.org.bb,0,0.00
Best of Barbados (Head Office),Best of Barbados (Head Office),Welches Plantation,,St. Thomas,,,421-6900,paulettemayers@best-of-barbados.com,0,0.00
Caribbean ARI   (Head office),Caribbean ARI   (Head office),#6 Gibbons Industrial Estate,Gibbons,Christ Church,,,420-1823,"bsmith@caribbeanari.com, dcollins@caribbeanari.com",0,0.00
Coco Express Gift Shop (Coconut Court Hotel),Coco Express Gift Shop (Coconut Court Hotel),Coconut Court Beach Hotel,Hastings,Christ Church,,,427-1655 ext 2327,"cocoexpress@coconut-court.com, llampkin@coconut-court.com",0,0.00
Dover Market,Dover Market,Dover,,Christ Church,,,428-1335,marilyn.k@thedovermarket.com,0,0.00
Free Spirit,Free Spirit,Southern Plaza,Oistins,Christ Church,,,230-5330,suzannebelle@gmail.com,0,0.00
GCS Limited (Ganzee Shops),GCS Limited (Ganzee Shops),#14 Newton Industrial Estate,,Christ Church,,,418-9908,"rosemary.h.alleyne@ganzee.com, shakiracox@ganzee.com",0,328.25
Gifts & Things,Gifts & Things,Sheraton Mall,,Christ Church,,,234-9865,gifts.things2000@gmail.com,0,"1,014.05"
Glitter Bay,Glitter Bay,Porters,,St.James,Barbados,,432-5110,charles.fulton@jumblebee.co.uk,0,0.00
Guardsman Barbados Ltd.,Guardsman Barbados Ltd.,32 Warrens Industrial Park,,St.Michael,Barbados,,573-7008,"bds-finance@guardsmangroup.com, holderj@guardsmangroup.com",0,154.22
Harrisons Cave,Harrisons Cave,Chukka Caribbean Adventures (B'dos) Ltd.,Welchman Hall,St. Thomas,,,417-3700,"njohn@chukka.com, smaynard@chukka.com",0,0.00
Hart Energy and Trading Inc,Hart Energy and Trading Inc,Bannatyne,,Christ Church,Barbados,,437-1255,andrewmshart@gmail.com,0,0.00
His N Hers,His N Hers,12 High Street,Bridgetown,St. Michael,,,436-1129,Karunashyam@caribsurf.com,0,0.00
Island Variety,Island Variety,Hilton Barbados Resort,Aquatic Gap,St. Michael,,,434-5765,wardent@outlook.com,0,0.00
J & H Local Colour,J & H Local Colour,Cruise Passenger Terminal,,St. Michael,,,431-0853,hnwalcott@caribsurf.com,0,0.00
La Tienda,La Tienda,Bougainvillea Beach Resort,Maxwell Coast Road,Christ Church,,,622-1101,nicolemurrell7@gmail.com,0,0.00
Massy Stores,Massy Stores,Sunset Crest,,St. James,,,432-1127,"vanetta.alleyne@massygroup.com, sandra.goddard@massygroup.com, carolyn.walrond@massygroup.com",0,0.00
Monique's Souvenirs,Monique's Souvenirs,Chattle House #9,Bridgetown Port,St. Michael,,,424-8243/426-4919,monicastowe49@gmail.com,0,0.00
Nixs & Naxs Gift Shop,Nixs & Naxs Gift Shop,Savannah Hotel,Garrison,Christ Church,,,829-3270,mycbtg@hotmail.com,0,0.00
One Love Craft Shop,One Love Craft Shop,Chattel House Village,Dover,Christ Chuch,,,844-3573,victorwilkinson@gmail.com,0,0.00
Sandals Barbados (Grande Cass),Sandals Barbados,Dover,,Christ Church,,,620-3600 ext 6807,sbdgiftshop@grp.sandals.com,0,0.00
Seaside Creations,Seaside Creations,Shop #9,Bridgetown Harbour,St. Michael,,,236-6011,rosie_925@hotmail.com,0,0.00
Harriett,Shop #7,,,,,,,,0,0.00
Phylis Fagen,Shop #7 (Port),"Shop #7
Barbados Port",Bridgetown,St. Michael,Barbados,,+1 (246) 230-6207,,0,0.00
Sugar Bay Hotel (La Tienda),Sugar Bay Hotel (La Tienda),Hastings Main Road,,Christ Church,,,622-1101,nicolemurrell7@gmail.com,0,0.00
The Gift Shop Butterfly,The Gift Shop Butterfly,Butterfly Beach Hotel,Maxwell,Christ Church,,,269-6595,dbutterfly@hotmail.com,0,0.00
The Harbour Gift Shop,The Harbour Gift Shop,The Bridgetown Port,,St. Michael,,,832-1335,donnaebrinkman@gmail.com,0,0.00
The Novelty Store,The Novelty Store,St. John Parish Church,,St. John,,,252-9784,,0,0.00
Tiami Catamaran Cruises,Tiami Catamaran Cruises,The Shallow Draught,Bridgetown,,,,430-0900,"ajohnson@amazing-attractions.com, mtrotman@amazing-attractions.com, accounts@amazing-attractions.com",0,627.00
Triple S&A Inc.,Triple S&A Inc.,#29 Benn Hill Woods,Pleasant Hall,St. Peter,,,253-4164,angelafrederickm@gmail.com,0,0.00
Tropical Garden - Formerly Orchid World Ltd.,Tropical Garden - Formerly Orchid World Ltd.,Groves,St. George,,,,433-0306,marketing@foster-ince.com,0,0.00
Views,Views,Chattel House Village,St. Lawrence Gap,Christ Church,,,624-4480,zoetarynethorpe441@gmail.com,0,0.00
809 Design Associates - The Estates at St. George,,Unit #4 #2 Williams Industrial Estate,St. Thomas,,,,,julie@809design.com,0,0.00
A Plus Tours,,Holetown,,St.James,Barbados,,232-4747 (Cleston Adams),aplustoursandevents@gmail.com,0,880.00
A.C.C.P.,,"1st Floor Baobab Tower
Warrens",,St. Michael,,,271-8691,admin@accpolice.org,0,70.50
ABA Family Dental Care,,#5   Sterling,8th Avenue,Belleville,,St. Michael,426-4152,"archerdmd@hotmail.com, leacock_roxanne@icloud.com",0,49.35
Abt Associates,,"Suite 4
Thomas Daniel Building
Hinks Street",Bridgetown,,Barbados,,571-0612,"troy_griffith@abtassoc.com, camille_white@abtassoc.com",0,0.00
Acacia Restaurant,,Bay Street,,St.Michael,Barbados,,537-0077,"michael@terasubarbados.com, accounts@terasubarbados.com, hinds740@gmail.com",0,0.00
Action Charters Inc,,Aberfoyle,Christ Church,,,,418-0002,"info@actioncharters.org, vlasws@gmail.com",0,"1,254.00"
Action Charters Inc - Super Cats,,Aberfoyle,Christ Church,,,,438-3709,"supercats@actioncharters.org, vlasws@gmail.com",0,0.00
